customer_city,customer_state,risk_segment,churn_probability,total_spent,average_review_score,average_delivery_delay,recommendation,reason,priority,owner,timeline,estimated_cost,expected_outcome
niteroi,RJ,High Risk,0.78340995,168.83,1.0,10.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
assai,PR,High Risk,0.7918707,117.94,5.0,-10.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
teofilo otoni,MG,High Risk,0.78837,188.74,4.0,-8.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
santo andre,SP,Low Risk,0.3506093,1310.23,5.0,-8.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
londrina,PR,Medium Risk,0.56862515,98.27,3.0,-12.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
teofilo otoni,MG,High Risk,0.8283724,151.4,5.0,-9.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
teotonio vilela,AL,High Risk,0.8887878,59.14,5.0,-6.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.7604917,49.34,4.0,-15.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
almenara,MG,High Risk,0.7853019,74.16,5.0,-24.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao bernardo do campo,SP,High Risk,0.8057233,25.23,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
campo grande,MS,High Risk,0.84001625,120.09,4.0,-17.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
rio de janeiro,RJ,High Risk,0.9223484,594.78,5.0,-10.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
porto alegre,RS,High Risk,0.87353396,123.82,3.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
santo andre,SP,Medium Risk,0.43263558,66.39,5.0,-29.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
belo horizonte,MG,High Risk,0.8364666,227.27,4.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
londrina,PR,High Risk,0.73104215,80.37,3.0,-17.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
belo horizonte,MG,High Risk,0.8924472,45.13,1.0,-19.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
ribeirao pires,SP,Low Risk,0.084039256,36.46,1.0,-3.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
maua,SP,Medium Risk,0.56068456,33.28,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
patos de minas,MG,Medium Risk,0.5367259,82.9,3.0,-17.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
frutal,MG,High Risk,0.89454126,181.46,5.0,-15.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.76158017,321.58,5.0,-2.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.8696982,69.73,4.0,-4.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
passo fundo,RS,High Risk,0.8954227,348.46,4.0,-9.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao luis,MA,Medium Risk,0.64001185,88.71000000000001,2.5,-15.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
sao paulo,SP,Medium Risk,0.6911001,201.13,1.0,-14.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
sao domingos do norte,ES,High Risk,0.81917584,63.82,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
guarulhos,SP,High Risk,0.86701906,42.41,4.0,-8.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
marilia,SP,High Risk,0.8663137,41.1,5.0,-15.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
abaira,BA,High Risk,0.86100364,35.05,5.0,-23.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
paulo afonso,BA,High Risk,0.8227409,157.28,5.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
mogi das cruzes,SP,Medium Risk,0.47080576,174.16,4.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
belo horizonte,MG,High Risk,0.7909091,71.56,5.0,-21.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.73127264,114.44,4.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
santa maria da vitoria,BA,High Risk,0.81646395,124.21,3.0,-12.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
recife,PE,High Risk,0.81390554,119.39,1.0,-18.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
rio de janeiro,RJ,High Risk,0.9127788,179.3,1.0,8.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,Low Risk,0.035353754,60.36,5.0,0.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
