customer_city,customer_state,total_orders,delivered_orders,cancelled_orders,total_spent,average_order_value,maximum_order_value,minimum_order_value,average_payment_installments,preferred_payment_type,total_items_purchased,unique_products,unique_categories,favorite_category,average_items_per_order,average_review_score,average_delivery_days,average_delivery_delay,on_time_delivery_rate,delayed_delivery_rate,customer_tenure_days,purchase_frequency,average_purchase_gap,spending_intensity,repeat_customer,cancel_rate,one_time_buyer,high_spender,delivery_delay_category,churn_flag,predicted_churn,churn_probability,risk_segment
niteroi,RJ,1,1,0,168.83,168.83,168.83,168.83,1.0,debit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,1.0,29.0,10.0,0.0,1.0,0,1.0,0.0,168.83,0,0.0,1,1,Delayed,1,1,0.78340995,High Risk
assai,PR,1,1,0,117.94,117.94,117.94,117.94,3.0,credit_card,1.0,1.0,1.0,cool_stuff,1.0,5.0,8.0,-10.0,1.0,0.0,0,1.0,0.0,117.94,0,0.0,1,1,Slightly Early,1,1,0.7918707,High Risk
teofilo otoni,MG,1,1,0,188.74,188.74,188.74,188.74,1.0,boleto,1.0,1.0,1.0,utilidades_domesticas,1.0,4.0,13.0,-8.0,1.0,0.0,0,1.0,0.0,188.74,0,0.0,1,1,On Time,1,1,0.78837,High Risk
santo andre,SP,1,1,0,1310.23,1310.23,1310.23,1310.23,4.0,credit_card,1.0,1.0,1.0,construcao_ferramentas_iluminacao,1.0,5.0,6.0,-8.0,1.0,0.0,0,1.0,0.0,1310.23,0,0.0,1,1,On Time,1,0,0.3506093,Low Risk
londrina,PR,1,1,0,98.27,98.27,98.27,98.27,1.0,boleto,1.0,1.0,1.0,informatica_acessorios,1.0,3.0,3.0,-12.0,1.0,0.0,0,1.0,0.0,98.27,0,0.0,1,0,Slightly Early,1,1,0.56862515,Medium Risk
teofilo otoni,MG,1,1,0,151.4,151.4,151.4,151.4,2.0,credit_card,1.0,1.0,1.0,automotivo,1.0,5.0,13.0,-9.0,1.0,0.0,0,1.0,0.0,151.4,0,0.0,1,1,On Time,1,1,0.8283724,High Risk
teotonio vilela,AL,1,1,0,59.14,59.14,59.14,59.14,5.0,credit_card,1.0,1.0,1.0,telefonia,1.0,5.0,26.0,-6.0,1.0,0.0,0,1.0,0.0,59.14,0,0.0,1,0,On Time,1,1,0.8887878,High Risk
sao paulo,SP,1,1,0,49.34,49.34,49.34,49.34,1.0,boleto,1.0,1.0,1.0,esporte_lazer,1.0,4.0,5.0,-15.0,1.0,0.0,0,1.0,0.0,49.34,0,0.0,1,0,Slightly Early,0,1,0.7604917,High Risk
almenara,MG,1,1,0,74.16,74.16,74.16,74.16,2.0,credit_card,1.0,1.0,1.0,papelaria,1.0,5.0,13.0,-24.0,1.0,0.0,0,1.0,0.0,74.16,0,0.0,1,0,Early Delivery,1,1,0.7853019,High Risk
sao bernardo do campo,SP,1,1,0,25.23,25.23,25.23,25.23,1.0,credit_card,1.0,1.0,1.0,eletronicos,1.0,5.0,7.0,-14.0,1.0,0.0,0,1.0,0.0,25.23,0,0.0,1,0,Slightly Early,0,1,0.8057233,High Risk
campo grande,MS,1,1,0,120.09,120.09,120.09,120.09,7.0,credit_card,1.0,1.0,1.0,informatica_acessorios,1.0,4.0,13.0,-17.0,1.0,0.0,0,1.0,0.0,120.09,0,0.0,1,1,Slightly Early,1,1,0.84001625,High Risk
rio de janeiro,RJ,1,1,0,594.78,594.78,594.78,594.78,10.0,credit_card,1.0,1.0,1.0,fashion_bolsas_e_acessorios,1.0,5.0,13.0,-10.0,1.0,0.0,0,1.0,0.0,594.78,0,0.0,1,1,Slightly Early,1,1,0.9223484,High Risk
porto alegre,RS,1,1,0,123.82,123.82,123.82,123.82,1.0,boleto,2.0,1.0,1.0,moveis_decoracao,2.0,3.0,21.0,-11.0,1.0,0.0,0,1.0,0.0,123.82,0,0.0,1,1,Slightly Early,1,1,0.87353396,High Risk
santo andre,SP,1,1,0,66.39,66.39,66.39,66.39,1.0,credit_card,1.0,1.0,1.0,eletronicos,1.0,5.0,3.0,-29.0,1.0,0.0,0,1.0,0.0,66.39,0,0.0,1,0,Early Delivery,0,0,0.43263558,Medium Risk
belo horizonte,MG,1,1,0,227.27,227.27,227.27,227.27,1.0,credit_card,1.0,1.0,1.0,cama_mesa_banho,1.0,4.0,12.0,-14.0,1.0,0.0,0,1.0,0.0,227.27,0,0.0,1,1,Slightly Early,1,1,0.8364666,High Risk
londrina,PR,1,1,0,80.37,80.37,80.37,80.37,1.0,credit_card,1.0,1.0,1.0,beleza_saude,1.0,3.0,9.0,-17.0,1.0,0.0,0,1.0,0.0,80.37,0,0.0,1,0,Slightly Early,1,1,0.73104215,High Risk
belo horizonte,MG,1,1,0,45.13,45.13,45.13,45.13,1.0,credit_card,1.0,1.0,1.0,beleza_saude,1.0,1.0,21.0,-19.0,1.0,0.0,0,1.0,0.0,45.13,0,0.0,1,0,Slightly Early,0,1,0.8924472,High Risk
ribeirao pires,SP,1,1,0,36.46,36.46,36.46,36.46,3.0,credit_card,1.0,1.0,1.0,relogios_presentes,1.0,1.0,3.0,-3.0,1.0,0.0,0,1.0,0.0,36.46,0,0.0,1,0,On Time,0,0,0.084039256,Low Risk
maua,SP,1,1,0,33.28,33.28,33.28,33.28,1.0,credit_card,1.0,1.0,1.0,informatica_acessorios,1.0,5.0,3.0,-9.0,1.0,0.0,0,1.0,0.0,33.28,0,0.0,1,0,On Time,1,1,0.56068456,Medium Risk
