Feature,Coefficient
cat__favorite_category_tablets_impressao_imagem,1.8029801703141566
cat__customer_city_itapetinga,1.746786015131907
cat__customer_city_miguel pereira,1.74279665298789
cat__customer_city_flores da cunha,1.6849383110971907
cat__favorite_category_moveis_colchao_e_estofado,1.6711851354618894
cat__customer_city_nova venecia,1.605338980036644
cat__customer_city_anchieta,1.5108314384460537
cat__customer_city_ortigueira,1.4812570631950985
cat__favorite_category_la_cuisine,1.4798089829986911
cat__favorite_category_fashion_esporte,1.4345999979728035
cat__customer_city_alta floresta,1.4077224945147122
cat__favorite_category_cds_dvds_musicais,1.361356811300736
cat__customer_city_paty do alferes,1.3485790645038904
cat__customer_city_timon,1.339000692535063
cat__customer_city_parati,1.3368684073728125
cat__customer_city_limoeiro do norte,1.2936764593664956
cat__customer_city_sao joaquim,1.2800689076548
num__average_delivery_days,1.2564480299024425
cat__delivery_delay_category_Slightly Early,1.2449953898902617
cat__customer_city_cocal,1.2246815642212145
