Feature,Coefficient
cat__customer_city_arace,-2.240018333953821
cat__favorite_category_artes_e_artesanato,-1.942884007689663
cat__delivery_delay_category_Highly Delayed,-1.7734082796749007
cat__favorite_category_portateis_cozinha_e_preparadores_de_alimentos,-1.771327931362047
cat__customer_city_conde,-1.7389879841879379
cat__customer_city_ronda alta,-1.729458180099847
cat__favorite_category_construcao_ferramentas_iluminacao,-1.5991301777903288
cat__customer_city_sao francisco de itabapoana,-1.5645162118563232
cat__customer_city_esperanca,-1.5637760710407242
cat__customer_city_maraba,-1.5532937824912463
cat__customer_city_sao joao do piaui,-1.5502054396966995
cat__customer_city_sertao,-1.5301593708541152
cat__customer_city_carpina,-1.4884338237681665
cat__favorite_category_cine_foto,-1.4273537778338228
cat__customer_city_sucesso,-1.4241548282700245
cat__customer_city_sao romao,-1.420765696331733
cat__customer_city_vazante,-1.4161533174933798
cat__customer_city_armacao dos buzios,-1.3997862262770855
cat__customer_city_pedra azul,-1.3875280541225987
cat__customer_city_nova veneza,-1.3655738557509896
